
===========================================================================
  TENNIS PROPS CHEATSHEET
  Surface: HARD
  Generated: Wednesday, February 04, 2026 at 01:55 AM
===========================================================================

  SUMMARY
  -----------------------------------
  Total Playable:    151
  SLAM (70%+):       111
  STRONG (62-70%):   25
  LEAN (55-62%):     15

  [SLAM] *** (111 picks)
  ---------------------------------------------------------------------------
  PLAYER                   PICK                   LINE    PROB    n
  Leolia Jeanjean          HIGHER games_played    8.5     100%     1 [CORR]
  Leolia Jeanjean          HIGHER sets_played     2.5     99%     1 [CORR]
  Hamad Medjedovic         HIGHER games_played    23.5    99%     1 [CORR]
  Sorana Cirstea           HIGHER games_played    19.5    96%     1 [CORR]
  Hamad Medjedovic         HIGHER aces            11.5    78%     1 [CORR]
  Hamad Medjedovic         HIGHER sets_played     2.5     100%     1 [CORR]
  Sorana Cirstea           HIGHER sets_played     2.5     99%     1 [CORR]
  James Mccabe             HIGHER sets_played     2.5     99%     1 [CORR]
  Charles Broom            HIGHER sets_played     2.5     99%     1 [CORR]
  Stan Wawrinka            HIGHER sets_won        0.5     75%     5
  Diane Parry              HIGHER sets_won        0.5     74%     5
  Rebeka Masarova          HIGHER sets_won        0.5     78%     2
  Rebecca Sramkova         HIGHER sets_won        0.5     77%     2
  Kaja Juvan               HIGHER sets_won        0.5     75%     2
  Sara Bejlek              HIGHER sets_won        0.5     76%     1
  Moise Kouame             HIGHER sets_won        0.5     75%     1

  [STRONG] ** (25 picks)
  ---------------------------------------------------------------------------
  PLAYER                   PICK                   LINE    PROB    n
  ---------------------------------------------------------------------------
  Ugo Humbert              HIGHER games_won       12.5    67%     20 [CORR]
  Tomas Machac             HIGHER games_played    22.5    66%     22 [CORR]
  Belinda Bencic           HIGHER tiebreakers     0.5     100%     10
  Darja Semenistaja        HIGHER tiebreakers     0.5     100%     10
  Tallon Griekspoor        HIGHER games_played    23.5    66%     17 [CORR]
  Zdenek Kolar             HIGHER games_played    19.5    69%     10 [CORR]
  Nikoloz Basilashvili     HIGHER games_won       12.5    69%     10 [CORR]
  Luca Nardi               HIGHER tiebreakers     0.5     100%     5
  Anastasia Potapova       HIGHER tiebreakers     0.5     100%     4
  Ekaterina Alexandrova    HIGHER tiebreakers     0.5     100%     4
  Xin Yu Wang              HIGHER tiebreakers     0.5     100%     3
  Emma Raducanu            HIGHER tiebreakers     0.5     100%     3
  Nikola Bartunkova        HIGHER games_played    20.5    66%     10 [CORR]
  Marvin Moeller           HIGHER games_played    21.5    64%     10 [CORR]
  Federico Iannaccone      HIGHER games_played    21.5    64%     10 [CORR]
  Alexandra Eala           HIGHER games_played    21.5    63%     10 [CORR]
  Remy Bertola             HIGHER games_played    21.5    63%     10 [CORR]
  Stan Wawrinka            HIGHER double_faults   1.5     70%     5 [CORR]
  Roberto Bautista Agut    HIGHER sets_won        0.5     64%     7
  Dayana Yastremska        HIGHER games_won       11.5    64%     7 [CORR]
  Ekaterina Alexandrova    HIGHER double_faults   4.5     80%     4 [CORR]
  Belinda Bencic           HIGHER games_played    21.5    62%     10 [CORR]
  Aleksandar Kovacevic     HIGHER aces            10.5    62%     7 [CORR]
  Rebeka Masarova          HIGHER games_won       8.5     64%     2 [CORR]
  Xin Yu Wang              HIGHER games_played    20.5    63%     3 [CORR]

  [LEAN] * (15 picks)
  ---------------------------------------------------------------------------
  PLAYER                   PICK                   LINE    PROB    n
  ---------------------------------------------------------------------------
  Tomas Machac             HIGHER aces            4.5     57%     22 [CORR]
  Adrian Mannarino         HIGHER aces            4.5     58%     15 [CORR]
  Luca Nardi               HIGHER games_won       12.5    62%     5 [CORR]
  Francesco Maestrelli     HIGHER games_played    22.5    59%     10 [CORR]
  Aleksandar Kovacevic     HIGHER games_played    22.5    59%     7 [CORR]
  Daniel Masur             HIGHER games_played    22.5    58%     10 [CORR]
  Panna Udvardy            HIGHER sets_won        0.5     60%     2
  Olga Danilovic           HIGHER games_played    20.5    59%     5 [CORR]
  Diane Parry              HIGHER games_played    21.5    58%     5 [CORR]
  Clara Tauson             HIGHER games_played    22.5    59%     4 [CORR]
  Luca Nardi               HIGHER games_played    22.5    58%     5 [CORR]
  Tamara Zidansek          HIGHER sets_won        0.5     60%     1
  Ekaterina Alexandrova    HIGHER games_won       12.5    58%     4 [CORR]
  Aleksandar Kovacevic     HIGHER games_won       12.5    57%     7 [CORR]
  Roberto Bautista Agut    HIGHER games_won       12.5    57%     7 [CORR]

  [AVOID] (61 props below 55%)
  ----------------------------------------
    Pablo Carreno Busta: aces (55%)
    Arthur Gea: games_won (53%)
    Luca Nardi: double_faults (53%)
    Rebeka Masarova: games_won (54%)
    Xin Yu Wang: aces (53%)
    ... and 56 more

===========================================================================
  RULES (SOP v2.1)
  - One player, one bet per match
  - [CORR] = Correlated stats - don't combine in parlays
  - Probabilities from 2,000 Monte Carlo simulations
===========================================================================
